Trial_ID,Sim_Time,Dev_EUI,Node_ID,F_Cnt,Msgs_Window,Target,Server_Sat,Net_Status_Flag,Node_State,Node_Action,Node_Period,Active_Nodes
1,2165.61,70b3d57ed007386a,6,33,30,30,100.0,0,3,REWARD,60,6
1,2173.45,70b3d57ed007386c,7,36,30,30,100.0,0,3,REWARD,60,6
1,2174.29,70b3d57ed00733ea,2,25,30,30,100.0,0,3,REWARD,60,6
1,2183.94,70b3d57ed007334e,1,29,30,30,100.0,0,3,REWARD,60,6
1,2202.3,70b3d57ed0073859,4,22,31,30,98.42,1,2,REWARD,60,6
1,2219.76,70b3d57ed0073864,5,32,30,30,100.0,0,3,PUNISH,60,6
1,2225.39,70b3d57ed007386a,6,34,30,30,100.0,0,3,REWARD,60,6
1,2233.45,70b3d57ed007386c,7,37,30,30,100.0,0,3,REWARD,60,6
1,2234.28,70b3d57ed00733ea,2,26,30,30,100.0,0,3,REWARD,60,6
1,2243.94,70b3d57ed007334e,1,30,30,30,100.0,0,3,REWARD,60,6
1,2262.27,70b3d57ed0073859,4,23,31,30,98.42,1,2,REWARD,60,6
1,2279.75,70b3d57ed0073864,5,33,30,30,100.0,0,3,REWARD,60,6
1,2285.62,70b3d57ed007386a,6,35,30,30,100.0,0,3,REWARD,60,6
1,2293.46,70b3d57ed007386c,7,39,30,30,100.0,0,3,REWARD,60,6
1,2294.29,70b3d57ed00733ea,2,27,30,30,100.0,0,3,REWARD,60,6
1,2303.94,70b3d57ed007334e,1,31,30,30,100.0,0,3,REWARD,60,6
1,2321.94,70b3d57ed0073859,4,24,31,30,98.42,1,2,REWARD,60,6
1,2339.77,70b3d57ed0073864,5,35,30,30,100.0,0,3,REWARD,60,6
1,2345.38,70b3d57ed007386a,6,37,30,30,100.0,0,3,PUNISH,60,6
1,2353.46,70b3d57ed007386c,7,40,30,30,100.0,0,3,REWARD,60,6
1,2354.28,70b3d57ed00733ea,2,29,30,30,100.0,0,3,REWARD,60,6
1,2363.93,70b3d57ed007334e,1,33,30,30,100.0,0,3,REWARD,60,6
1,2381.76,70b3d57ed0073859,4,25,31,30,98.42,1,2,REWARD,60,6
1,2399.91,70b3d57ed0073864,5,36,30,30,100.0,0,3,REWARD,60,6
1,2405.53,70b3d57ed007386a,6,38,30,30,100.0,0,3,REWARD,60,6
1,2413.48,70b3d57ed007386c,7,41,30,30,100.0,0,3,REWARD,60,6
1,2414.29,70b3d57ed00733ea,2,30,30,30,100.0,0,3,REWARD,60,6
1,2423.93,70b3d57ed007334e,1,34,30,30,100.0,0,3,REWARD,60,6
1,2441.45,70b3d57ed0073859,4,27,31,30,98.42,1,2,REWARD,60,6
1,2459.77,70b3d57ed0073864,5,37,30,30,100.0,0,3,REWARD,60,6
1,2465.39,70b3d57ed007386a,6,39,31,30,98.42,1,3,REWARD,60,6
1,2473.7,70b3d57ed007386c,7,42,30,30,100.0,0,3,REWARD,60,6
1,2474.36,70b3d57ed00733ea,2,31,30,30,100.0,0,3,REWARD,60,6
1,2484.1,70b3d57ed007334e,1,35,30,30,100.0,0,3,REWARD,60,6
1,2501.27,70b3d57ed0073859,4,28,31,30,98.42,1,2,REWARD,60,6
1,2519.77,70b3d57ed0073864,5,38,30,30,100.0,0,3,PUNISH,60,6
1,2525.39,70b3d57ed007386a,6,40,31,30,98.42,1,3,REWARD,60,6
1,2533.63,70b3d57ed007386c,7,44,30,30,100.0,0,3,REWARD,60,6
1,2534.36,70b3d57ed00733ea,2,33,30,30,100.0,0,3,REWARD,60,6
1,2544.09,70b3d57ed007334e,1,37,30,30,100.0,0,3,REWARD,60,6
1,2561.34,70b3d57ed0073859,4,29,31,30,98.42,1,2,REWARD,60,6
